description,main_group,sub_group,nds,cws,nova_level
"Salt pork, cooked",Meat & Poultry,Pork,11.1,6.9,2
"Fat back, cooked",Meat & Poultry,Pork,11.1,6.9,3
Oyster sauce,Seafood,Shellfish,19.8,10.3,3
Teriyaki sauce,Condiments & Sauces,Sauces,18.2,12.1,3
Fish sauce,Seafood,Fish,6.9,12.4,3
Black bean sauce,"Legumes, Nuts & Seeds",Beans & Lentils,11.9,12.4,3
Hot Thai sauce,Condiments & Sauces,Sauces,21.9,12.8,3
"Coleslaw dressing, light",Condiments & Sauces,Dressings,20.0,14.9,1
Venison/deer jerky,Meat & Poultry,Game Meat,23.9,15.1,1
Buffalo sauce,Condiments & Sauces,Sauces,20.5,15.1,3
Korean dressing or marinade,Condiments & Sauces,Dressings,24.4,15.3,1
"Pretzel chips, hard, gluten free",Grains & Bakery,Crackers,21.3,15.5,4
Soy sauce,Condiments & Sauces,Sauces,15.6,17.3,3
"Butter-oil blend, stick",Dairy & Eggs,Butter,9.5,18.3,2
"Butter, NFS",Dairy & Eggs,Butter,9.5,18.3,1
"Butter, stick",Dairy & Eggs,Butter,9.5,18.3,1
"Pepperoni, NFS",Meat & Poultry,Processed Meat,24.0,18.4,1
Tamarind candy,Fruits,Tropical,19.4,18.5,4
"Beef, dried, chipped, cooked in fat",Meat & Poultry,Beef,25.6,18.6,2
"Salami, NFS",Meat & Poultry,Processed Meat,26.5,19.1,3
"Pepperoni, reduced fat",Meat & Poultry,Processed Meat,26.5,19.1,1
"Pretzel chips, hard, flavored",Grains & Bakery,Crackers,27.5,19.3,4
"Butter, tub",Dairy & Eggs,Butter,11.9,19.7,1
"Butter-oil blend, tub",Dairy & Eggs,Butter,11.9,19.7,2
"Butter-oil blend, NFS",Dairy & Eggs,Butter,11.9,19.7,2
Lemon-butter sauce,Dairy & Eggs,Butter,12.0,19.8,3
"Caesar dressing, light",Condiments & Sauces,Dressings,23.8,19.9,1
Fish moochim,Seafood,Fish,27.6,20.0,1
Coconut oil,Condiments & Sauces,Oils & Fats,0.0,20.0,2
"Caesar dressing, fat free",Condiments & Sauces,Dressings,25.0,20.1,1
"Teriyaki sauce, reduced sodium",Condiments & Sauces,Sauces,27.0,20.1,3
"Butter replacement, powder",Dairy & Eggs,Butter,25.6,20.2,1
"Soy sauce, reduced sodium",Condiments & Sauces,Sauces,22.9,20.4,3
Steak sauce,Meat & Poultry,Beef,27.4,20.5,3
Garlic sauce,Vegetables,Alliums,12.7,20.6,3
"Table fat, NFS",Fast Food & Prepared,Mixed Dishes,15.9,20.7,1
Wasabi paste,Other,Other,20.2,20.8,1
"Ham, prosciutto",Meat & Poultry,Processed Meat,27.8,21.0,3
Animal fat or drippings,Other,Other,15.3,21.0,1
"Turkey bacon, cooked",Meat & Poultry,Turkey,33.0,21.0,3
"Ham and pork, canned luncheon meat, chopped, minced, pressed, spiced",Meat & Poultry,Processed Meat,26.6,21.2,3
"Pretzel chips, hard, plain",Grains & Bakery,Crackers,29.3,21.3,4
"Pork roll, cured, fried",Meat & Poultry,Pork,26.5,21.3,3
Caesar dressing,Condiments & Sauces,Dressings,26.3,21.3,1
"Bologna, NFS",Meat & Poultry,Processed Meat,28.2,21.7,1
"Anchovy, canned",Other,Other,30.7,21.8,3
Sandwich spread,Fast Food & Prepared,Sandwiches,23.8,21.8,1
"Anchovy, cooked, NS as to cooking method",Fast Food & Prepared,Mixed Dishes,30.7,21.8,3
"Cheese spread, Swiss cheese base",Dairy & Eggs,Cheese,30.8,21.9,3
"Cheese spread, American or Cheddar cheese base",Dairy & Eggs,Cheese,30.8,21.9,3
