main_group,calories,protein,carbohydrate,fat_total_lipid,fiber,nds,cws,is_plant_based,nova_level
Snacks & Desserts,483.73,8.6,59.19,23.62,8.2,38.67,46.92,0.0,2.06
"Legumes, Nuts & Seeds",348.68,8.45,26.34,23.28,5.2,37.56,44.31,1.0,2.08
Supplements & Sports,170.11,16.21,20.35,2.66,2.37,44.24,41.94,0.04,2.48
Grains & Bakery,252.38,6.85,42.09,6.29,3.53,36.44,39.76,1.0,1.96
Other,222.18,6.93,27.62,9.33,2.65,35.35,39.37,0.07,1.83
Seafood,166.26,17.84,7.5,7.21,0.46,35.77,39.13,0.29,2.01
Vegetables,122.82,3.28,14.66,5.67,2.02,37.28,39.12,1.0,2.24
Fast Food & Prepared,233.48,9.28,24.11,11.1,2.36,34.81,38.16,0.02,2.18
Plant-based Alternatives,174.2,7.98,14.7,9.28,2.13,34.49,37.36,1.0,2.48
Fruits,195.68,2.56,32.25,6.27,2.18,32.75,36.98,1.0,1.5
Infant Nutrition,88.4,2.31,13.85,2.64,0.82,34.13,36.76,0.09,1.16
Meat & Poultry,192.19,15.78,9.13,10.28,0.81,34.08,36.68,0.06,2.5
Soups & Broths,62.77,4.51,5.64,2.47,0.64,31.94,36.18,0.0,2.91
Dairy & Eggs,207.4,8.66,18.14,11.13,1.21,33.84,36.12,0.04,2.4
Beverages,74.86,1.38,13.14,1.87,0.4,32.04,35.76,0.01,1.55
Sweets & Desserts,384.71,5.71,54.98,15.77,2.46,30.98,35.45,0.07,2.45
Salads & Mixed,165.24,4.05,8.67,12.71,1.26,32.54,34.72,0.0,1.0
Condiments & Sauces,267.59,4.07,17.96,19.94,1.12,29.77,31.14,0.06,1.84
