description,main_group,sub_group,nds,cws,nova_level
"Textured vegetable protein, dry",Plant-based Alternatives,Soy Products,83.4,82.9,1
"Wheat bran, unprocessed",Grains & Bakery,Bran & Germ,95.6,81.1,1
"Nutritional powder mix, high protein (Slim Fast)",Supplements & Sports,Protein Supplements,98.5,79.4,1
"Cocoa powder, not reconstituted",Sweets & Desserts,Chocolate,90.2,78.9,1
"Tea, iced, instant, black, unsweetened, dry",Beverages,Tea,95.0,78.6,1
"Vegetable mixture, dried",Vegetables,Other Vegetables,86.2,74.8,2
Sun-dried tomatoes,Other,Other,77.6,73.2,2
Cereal (Kellogg's All-Bran),Grains & Bakery,Cereal,82.3,72.9,1
Cereal (Kellogg's All-Bran Complete Wheat Flakes),Grains & Bakery,Cereal,91.9,72.3,1
Flax seeds,"Legumes, Nuts & Seeds",Seeds,74.9,71.8,1
Chia seeds,"Legumes, Nuts & Seeds",Seeds,74.9,71.8,1
"Wheat germ, plain",Grains & Bakery,Other Grains,67.0,71.5,1
Yeast,Other,Cocoa & Baking,62.9,71.5,1
"Parsley, raw",Vegetables,Other Vegetables,100.0,70.6,1
Soy nuts,Other,Other,66.3,70.2,1
"Oatmeal cereal, baby food, dry, instant",Infant Nutrition,Baby Food,84.4,70.0,1
"Coffee substitute, dry powder",Beverages,Coffee,73.8,69.9,1
Nutritional powder mix (Kellogg's Special K20 Protein Water),Supplements & Sports,Protein Supplements,63.0,68.9,1
Cereal (General Mills Fiber One),Grains & Bakery,Cereal,73.8,67.6,1
Nutrition bar (Snickers Marathon Protein Bar),Sweets & Desserts,Snack Bars,63.3,67.3,4
"Chocolate beverage powder, light, dry mix, not reconstituted",Beverages,Other Beverages,78.7,67.1,4
"Mixed cereal with bananas, baby food, dry, instant",Infant Nutrition,Baby Food,73.0,66.6,1
"Almonds, unroasted",Other,Other,60.3,66.4,3
Nutritional powder mix (Muscle Milk),Supplements & Sports,Protein Supplements,68.9,66.3,1
"Oat bran, uncooked",Grains & Bakery,Other Grains,57.9,66.0,3
"Almonds, NFS",Fast Food & Prepared,Mixed Dishes,59.3,65.9,1
Cereal (Kashi GOLEAN),Grains & Bakery,Cereal,57.7,65.8,1
"Almonds, unsalted",Other,Other,58.4,65.4,2
"Nutritional powder mix, protein, NFS",Supplements & Sports,Protein Supplements,62.9,64.8,1
"Nutritional powder mix, whey based, NFS",Supplements & Sports,Protein Supplements,62.9,64.8,1
"Almond butter, lower sodium",Dairy & Eggs,Butter,58.6,64.6,1
Mixed seeds,Other,Other,55.7,64.6,1
Sesame seeds,"Legumes, Nuts & Seeds",Seeds,56.6,64.2,1
"Seaweed, dried",Vegetables,Other Vegetables,80.0,63.9,2
Cereal (Uncle Sam),Grains & Bakery,Cereal,57.9,63.8,1
Soy nut butter,Dairy & Eggs,Butter,58.1,63.4,1
"Almonds, lightly salted",Other,Other,57.4,63.4,2
Almond butter,Dairy & Eggs,Butter,58.1,63.4,1
"Barley cereal, baby food, dry, instant",Infant Nutrition,Baby Food,70.5,63.4,1
Cereal (Quaker Toasted Oat Bran),Grains & Bakery,Cereal,60.9,63.3,1
Cereal (Malt-O-Meal Blueberry Muffin Tops),Fruits,Berries,54.4,63.2,1
"Pumpkin seeds, NFS",Vegetables,Squash,67.5,63.1,1
"Whole wheat cereal with apples, baby food, dry, instant",Infant Nutrition,Baby Food,72.9,63.1,1
"Pumpkin seeds, unsalted",Vegetables,Squash,67.5,63.1,2
"Pistachio nuts, NFS","Legumes, Nuts & Seeds",Tree Nuts,52.2,63.1,1
Cereal (Kellogg's Frosted Mini-Wheats),Grains & Bakery,Cereal,53.5,63.0,1
"Cereal, toasted oat",Grains & Bakery,Cereal,65.1,62.9,1
Cereal (General Mills Cheerios),Grains & Bakery,Cereal,62.7,62.8,1
"Sunflower seeds, plain, unsalted","Legumes, Nuts & Seeds",Seeds,51.8,62.8,2
"Sunflower seeds, NFS","Legumes, Nuts & Seeds",Seeds,51.8,62.8,1
