description,main_group,sub_group,nds,cws,nova_level
"Parsley, raw",Vegetables,Other Vegetables,100.0,70.6,1
"Fruit flavored drink, powdered, not reconstituted, diet",Other,Other,99.8,56.7,1
"Nutritional powder mix, high protein (Slim Fast)",Supplements & Sports,Protein Supplements,98.5,79.4,1
"Wheat bran, unprocessed",Grains & Bakery,Bran & Germ,95.6,81.1,1
"Tea, iced, instant, black, unsweetened, dry",Beverages,Tea,95.0,78.6,1
Cereal (Kellogg's All-Bran Complete Wheat Flakes),Grains & Bakery,Cereal,91.9,72.3,1
"Nutritional powder mix, high protein (Herbalife)",Supplements & Sports,Protein Supplements,90.2,54.6,1
"Cocoa powder, not reconstituted",Sweets & Desserts,Chocolate,90.2,78.9,1
"Nutritional powder mix, high protein, NFS",Supplements & Sports,Protein Supplements,90.2,54.6,1
"Vegetable mixture, dried",Vegetables,Other Vegetables,86.2,74.8,2
"Oatmeal cereal, baby food, dry, instant",Infant Nutrition,Baby Food,84.4,70.0,1
"Textured vegetable protein, dry",Plant-based Alternatives,Soy Products,83.4,82.9,1
Cereal (Kellogg's All-Bran),Grains & Bakery,Cereal,82.3,72.9,1
"Nutritional powder mix, sugar free (Carnation Instant Breakfast)",Supplements & Sports,Protein Supplements,81.8,57.2,2
"Nutritional powder mix, protein, light, NFS",Supplements & Sports,Protein Supplements,80.1,62.3,1
"Nutritional powder mix, light (Muscle Milk)",Supplements & Sports,Protein Supplements,80.1,62.3,1
"Seaweed, dried",Vegetables,Other Vegetables,80.0,63.9,2
"Chocolate beverage powder, light, dry mix, not reconstituted",Beverages,Other Beverages,78.7,67.1,4
Sun-dried tomatoes,Other,Other,77.6,73.2,2
Flax seeds,"Legumes, Nuts & Seeds",Seeds,74.9,71.8,1
Chia seeds,"Legumes, Nuts & Seeds",Seeds,74.9,71.8,1
"Coffee, instant, 50% less caffeine, not reconstituted",Beverages,Coffee,74.8,52.3,1
"Coffee, instant, not reconstituted",Beverages,Coffee,74.4,51.7,1
"Oatmeal cereal with bananas, baby food, dry, instant",Infant Nutrition,Baby Food,74.2,60.9,1
"Coffee substitute, dry powder",Beverages,Coffee,73.8,69.9,1
Cereal (General Mills Fiber One),Grains & Bakery,Cereal,73.8,67.6,1
"Coffee, instant, decaffeinated, not reconstituted",Beverages,Coffee,73.2,51.3,1
"Mixed cereal with bananas, baby food, dry, instant",Infant Nutrition,Baby Food,73.0,66.6,1
"Whole wheat cereal with apples, baby food, dry, instant",Infant Nutrition,Baby Food,72.9,63.1,1
"Barley cereal, baby food, dry, instant",Infant Nutrition,Baby Food,70.5,63.4,1
"Rice cereal with bananas, baby food, dry, instant",Infant Nutrition,Baby Food,69.9,51.4,1
Nutritional powder mix (Muscle Milk),Supplements & Sports,Protein Supplements,68.9,66.3,1
Nutritional powder mix (Isopure),Supplements & Sports,Protein Supplements,68.4,54.9,1
"Rice cereal, baby food, dry, instant",Infant Nutrition,Baby Food,68.0,50.7,1
"Pumpkin seeds, NFS",Vegetables,Squash,67.5,63.1,1
"Pumpkin seeds, unsalted",Vegetables,Squash,67.5,63.1,2
"Mixed cereal, baby food, dry, instant",Infant Nutrition,Baby Food,67.4,61.2,1
"Multigrain, whole grain cereal, baby food, dry, instant",Infant Nutrition,Baby Food,67.3,61.1,1
"Wheat germ, plain",Grains & Bakery,Other Grains,67.0,71.5,1
Soy nuts,Other,Other,66.3,70.2,1
Nutrition bar (Slim Fast Original Meal Bar),Sweets & Desserts,Snack Bars,65.5,57.0,1
Nutrition bar (South Beach Living Meal Bar),Sweets & Desserts,Snack Bars,65.5,57.0,1
"Rice cereal with mixed fruits, baby food, dry, instant",Infant Nutrition,Baby Food,65.3,52.4,1
"Pumpkin seeds, salted",Vegetables,Squash,65.1,57.9,2
"Cereal, toasted oat",Grains & Bakery,Cereal,65.1,62.9,1
"Dandelion greens, raw",Vegetables,Other Vegetables,64.7,55.6,3
"Dandelion greens, cooked",Vegetables,Other Vegetables,64.3,53.4,3
Nutrition bar (Snickers Marathon Protein Bar),Sweets & Desserts,Snack Bars,63.3,67.3,4
Nutrition bar (PowerBar),Sweets & Desserts,Snack Bars,63.3,56.6,1
"Chard, raw",Vegetables,Leafy Greens,63.1,51.6,1
