description,main_group,sub_group,calories,protein,carbohydrate,fat_total_lipid,cws,recommendation_score
"Wheat bran, unprocessed",Grains & Bakery,Bran & Germ,358.49,15.55,64.51,4.25,81.1,6.294
Nutritional powder mix (Kellogg's Special K20 Protein Water),Supplements & Sports,Protein Supplements,379.8,35.2,58.4,0.6,68.9,6.207
"Cocoa powder, not reconstituted",Sweets & Desserts,Chocolate,433.3,19.6,57.9,13.7,78.9,5.939
Yeast,Other,Cocoa & Baking,395.13,40.44,41.22,7.61,71.5,5.872
"Nutritional powder mix, whey based, NFS",Supplements & Sports,Protein Supplements,351.56,78.13,6.25,1.56,64.8,5.545
"Nutritional powder mix, protein, NFS",Supplements & Sports,Protein Supplements,351.56,78.13,6.25,1.56,64.8,5.545
Flax seeds,"Legumes, Nuts & Seeds",Seeds,568.12,18.29,28.88,42.16,71.8,5.446
Chia seeds,"Legumes, Nuts & Seeds",Seeds,568.12,18.29,28.88,42.16,71.8,5.446
Cereal (General Mills Fiber One),Grains & Bakery,Cereal,384.17,6.59,84.3,2.29,67.6,5.225
"Tuna, fresh, dried",Seafood,Fish,318.77,76.25,0.0,1.53,58.1,5.077
