description,main_group,sub_group,calories,protein,carbohydrate,fat_total_lipid,cws,recommendation_score
"Wheat bran, unprocessed",Grains & Bakery,Bran & Germ,358.49,15.55,64.51,4.25,81.1,7.821
"Cocoa powder, not reconstituted",Sweets & Desserts,Chocolate,433.3,19.6,57.9,13.7,78.9,6.603
"Textured vegetable protein, dry",Plant-based Alternatives,Soy Products,352.5,51.46,33.92,1.22,82.9,5.123
Flax seeds,"Legumes, Nuts & Seeds",Seeds,568.12,18.29,28.88,42.16,71.8,4.844
Chia seeds,"Legumes, Nuts & Seeds",Seeds,568.12,18.29,28.88,42.16,71.8,4.844
"Wheat germ, plain",Grains & Bakery,Other Grains,411.1,29.1,49.6,10.7,71.5,4.654
Yeast,Other,Cocoa & Baking,395.13,40.44,41.22,7.61,71.5,4.613
Cereal (Post Shredded Wheat),Grains & Bakery,Cereal,385.58,11.58,80.18,2.06,61.6,4.061
Cereal (Kellogg's Frosted Mini-Wheats),Grains & Bakery,Cereal,384.8,9.2,83.4,1.6,63.0,3.983
"Mixed cereal with bananas, baby food, dry, instant",Infant Nutrition,Baby Food,392.6,10.7,77.1,4.6,66.6,3.896
