description,main_group,sub_group,calories,protein,carbohydrate,fat_total_lipid,cws,recommendation_score
Soybean oil,"Legumes, Nuts & Seeds",Beans & Lentils,900.0,0.0,0.0,100.0,31.8,6.095
"Vegetable oil, NFS",Vegetables,Other Vegetables,900.0,0.0,0.0,100.0,31.3,6.077
Almond oil,"Legumes, Nuts & Seeds",Tree Nuts,900.0,0.0,0.0,100.0,30.9,6.064
Walnut oil,"Legumes, Nuts & Seeds",Tree Nuts,900.0,0.0,0.0,100.0,30.8,6.06
Peanut oil,"Legumes, Nuts & Seeds",Peanut,900.0,0.0,0.0,100.0,29.6,6.019
Wheat germ oil,Grains & Bakery,Other Grains,900.0,0.0,0.0,100.0,29.6,6.019
"Shortening, NS as to vegetable or animal",Vegetables,Other Vegetables,899.73,0.0,0.0,99.97,28.9,5.993
"Ghee, clarified butter",Dairy & Eggs,Butter,896.44,0.28,0.0,99.48,23.1,5.777
Animal fat or drippings,Other,Other,838.54,2.23,0.0,92.18,21.0,5.39
"Butter, stick",Dairy & Eggs,Butter,733.63,0.85,0.06,81.11,18.3,4.66
