description,main_group,sub_group,calories,protein,carbohydrate,fat_total_lipid,cws,recommendation_score
"Black beans, from canned, no added fat",Other,Other,136.71,8.87,24.34,0.43,58.7,4.287
"Passion fruit, raw",Fruits,Other Fruits,108.62,2.2,23.38,0.7,58.1,4.247
"Raspberries, raw",Other,Other,58.41,1.2,11.94,0.65,49.9,3.628
"Raspberries, frozen",Other,Other,58.41,1.2,11.94,0.65,49.9,3.628
"Parsley, raw",Vegetables,Other Vegetables,44.31,2.97,6.33,0.79,70.6,3.54
"Black beans, from dried, no added fat",Other,Other,134.38,8.81,23.57,0.54,56.4,3.521
"Beans, from dried, NS as to type, no added fat",Fast Food & Prepared,Mixed Dishes,143.02,8.92,25.44,0.62,56.9,3.494
"Pinto beans, from dried, no added fat","Legumes, Nuts & Seeds",Beans & Lentils,145.93,8.96,26.06,0.65,56.9,3.429
"Beet greens, raw",Vegetables,Leafy Greens,27.29,2.2,4.33,0.13,53.3,3.401
"Collards, fresh, cooked, no added fat",Vegetables,Other Vegetables,42.05,3.24,5.81,0.65,54.1,3.396
