description,main_group,anomaly_type,anomaly_decision_score,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,calcium,vitamin_c
"Milk, dry, not reconstituted, NS as to fat content",Dairy & Eggs,Extreme Macro Imbalance,-0.07862913045512354,359.49,36.16,51.98,0.77,0.0,51.98,535,1257,6.8
"Milk, dry, not reconstituted, whole",Dairy & Eggs,Extreme Macro Imbalance,-0.04617852801974409,499.35,26.32,38.42,26.71,0.0,38.42,371,912,8.6
"Milk, dry, not reconstituted, low fat (1%)",Dairy & Eggs,Extreme Macro Imbalance,-0.08035582316082757,364.79,35.8,51.46,1.75,0.0,51.46,530,1245,6.7
"Milk, dry, not reconstituted, fat free (skim)",Dairy & Eggs,Extreme Macro Imbalance,-0.07862913045512354,359.49,36.16,51.98,0.77,0.0,51.98,535,1257,6.8
"Whey, sweet, dry",Supplements & Sports,Extreme Macro Imbalance,-0.08452840043337673,359.19,12.93,74.46,1.07,0.0,74.46,1079,796,1.5
"Cocoa powder, not reconstituted",Sweets & Desserts,Extreme Macro Imbalance,-0.00694745489675519,433.3,19.6,57.9,13.7,37.0,1.75,21,128,0.0
"Chocolate beverage powder, dry mix, not reconstituted",Beverages,Extreme Macro Imbalance,-0.054432578217437744,399.75,4.55,90.28,2.27,4.5,81.82,136,455,27.3
"Chocolate beverage powder, light, dry mix, not reconstituted",Beverages,Extreme Macro Imbalance,-0.07316587049910162,350.1,9.09,68.31,4.5,9.1,27.27,500,909,54.5
"Milk, malted, dry mix, not reconstituted",Dairy & Eggs,Extreme Macro Imbalance,-0.11353740113102839,371.84,0.0,92.96,0.0,0.0,72.73,530,909,54.5
"Strawberry beverage powder, dry mix, not reconstituted",Fruits,Extreme Macro Imbalance,-0.015063552146508341,398.6,0.1,99.1,0.2,0.0,95.45,38,4,0.3
"Cheese, Parmesan, dry grated",Dairy & Eggs,Extreme Macro Imbalance,-0.05846935807976139,420.0,29.6,12.4,28.0,0.0,0.07,1750,884,0.0
"Cheese, Parmesan, dry grated, reduced fat",Dairy & Eggs,Extreme Macro Imbalance,-0.037280692742786226,392.5,34.8,26.2,16.5,0.0,0.78,1450,842,0.0
"Cheese, Parmesan, hard",Dairy & Eggs,Extreme Macro Imbalance,-0.05846935807976139,420.0,29.6,12.4,28.0,0.0,0.07,1750,884,0.0
"Cheese, Parmesan, dry grated, fat free",Dairy & Eggs,Extreme Macro Imbalance,-0.01596723835751901,365.0,40.0,40.0,5.0,0.0,1.5,1150,800,0.0
"Cheese, American and Swiss blends",Dairy & Eggs,Extreme Macro Imbalance,-0.015090565984694715,368.48,18.0,5.27,30.6,0.0,2.63,1660,866,0.0
Beef jerky,Meat & Poultry,Extreme Macro Imbalance,-0.012617631792245065,407.2,33.2,11.0,25.6,1.8,9.0,1785,20,0.0
Pork jerky,Meat & Poultry,Extreme Macro Imbalance,-0.012617631792245065,407.2,33.2,11.0,25.6,1.8,9.0,1785,20,0.0
"Bacon, NS as to type of meat, cooked",Meat & Poultry,Extreme Macro Imbalance,-0.00037927390818293105,458.29,33.92,1.7,35.09,0.0,0.0,1684,11,0.0
"Pork bacon, NS as to fresh, smoked or cured, cooked",Meat & Poultry,Extreme Macro Imbalance,-0.00037927390818293105,458.29,33.92,1.7,35.09,0.0,0.0,1684,11,0.0
"Pork bacon, smoked or cured, cooked",Meat & Poultry,Extreme Macro Imbalance,-0.00037927390818293105,458.29,33.92,1.7,35.09,0.0,0.0,1684,11,0.0
"Bacon or side pork, fresh, cooked",Meat & Poultry,Extreme Macro Imbalance,-0.00037927390818293105,458.29,33.92,1.7,35.09,0.0,0.0,1684,11,0.0
"Salt pork, cooked",Meat & Poultry,High Calorie Trap,-0.07848092898483527,748.09,2.68,0.0,81.93,0.0,0.0,2039,11,0.0
"Fat back, cooked",Meat & Poultry,High Calorie Trap,-0.07848092898483527,748.09,2.68,0.0,81.93,0.0,0.0,2039,11,0.0
"Pork, cracklings, cooked",Meat & Poultry,Extreme Macro Imbalance,-0.00037927390818293105,458.29,33.92,1.7,35.09,0.0,0.0,1684,11,0.0
Pork skin rinds,Meat & Poultry,High Calorie Trap,-0.031084536319675005,526.9,61.3,0.0,31.3,0.0,0.0,1818,30,0.5
Venison/deer jerky,Meat & Poultry,Extreme Macro Imbalance,-0.020512960041065842,389.37,32.2,14.72,22.41,0.0,14.75,2955,18,0.0
"Fish, NS as to type, dried",Seafood,Extreme Protein Source,-0.061378859558340326,272.61,62.82,0.0,2.37,0.0,0.0,7027,160,3.5
"Cod, dried, salted",Seafood,Extreme Protein Source,-0.061378859558340326,272.61,62.82,0.0,2.37,0.0,0.0,7027,160,3.5
"Octopus, dried",Seafood,Extreme Protein Source,-0.004756036972907052,294.9,56.52,8.34,3.94,0.0,0.0,1312,201,18.0
"Shrimp, dried",Seafood,Extreme Protein Source,-0.05464791857466722,237.76,51.7,0.0,3.44,0.0,0.0,2203,367,10.4
Fish moochim,Seafood,Extreme Macro Imbalance,-0.026813959890366612,340.63,37.83,10.18,16.51,0.8,8.48,4950,102,2.0
"Papad, grilled or broiled",Other,Extreme Macro Imbalance,-0.041356179182828745,370.97,25.56,59.87,3.25,18.6,0.0,1745,143,0.0
Soy nuts,Other,Extreme Macro Imbalance,-0.02152773342670533,503.68,38.55,30.22,25.4,17.7,4.2,163,138,2.2
"Textured vegetable protein, dry",Plant-based Alternatives,Extreme Protein Source,-0.046406793128603185,352.5,51.46,33.92,1.22,17.5,16.42,20,241,0.0
Bacon bits,Meat & Poultry,Extreme Macro Imbalance,-0.05181263684258519,475.5,32.0,28.6,25.9,10.2,0.0,1770,101,1.9
"Almonds, NFS",Fast Food & Prepared,Extreme Macro Imbalance,-0.04656204668154873,640.74,20.96,21.01,52.54,10.9,4.86,3,268,0.0
"Almonds, unroasted",Other,Extreme Macro Imbalance,-0.043976021857322634,620.17,21.15,21.55,49.93,12.5,4.35,1,269,0.0
"Almonds, salted",Other,Extreme Macro Imbalance,-0.03246575311195954,642.11,20.13,20.18,53.43,10.5,4.67,386,258,0.0
"Almonds, lightly salted",Other,Extreme Macro Imbalance,-0.03664468834225276,645.34,20.23,20.28,53.7,10.5,4.69,195,259,0.0
"Almonds, unsalted",Other,Extreme Macro Imbalance,-0.053046924258657424,648.48,20.33,20.38,53.96,10.6,4.71,3,260,0.0
"Almonds, flavored",Other,Extreme Macro Imbalance,-0.03137768621481907,640.19,20.07,20.12,53.27,10.4,4.65,500,257,0.0
