description,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Milk, dry, not reconstituted, NS as to fat content",359.5,36.16,51.98,0.77,0.0,51.98,535
"Milk, dry, not reconstituted, whole",499.4,26.32,38.42,26.71,0.0,38.42,371
"Milk, dry, not reconstituted, low fat (1%)",364.8,35.8,51.46,1.75,0.0,51.46,530
"Milk, dry, not reconstituted, fat free (skim)",359.5,36.16,51.98,0.77,0.0,51.98,535
"Whey, sweet, dry",359.2,12.93,74.46,1.07,0.0,74.46,1079
"Chocolate beverage powder, dry mix, not reconstituted",399.8,4.55,90.28,2.27,4.5,81.82,136
"Milk, malted, dry mix, not reconstituted",371.8,0.0,92.96,0.0,0.0,72.73,530
"Strawberry beverage powder, dry mix, not reconstituted",398.6,0.1,99.1,0.2,0.0,95.45,38
"Coffee creamer, powder, fat free",442.5,1.9,73.4,15.7,0.0,73.4,229
"Coffee creamer,powder, fat free, flavored",442.5,1.9,73.4,15.7,0.0,73.4,229
"Cheese, Parmesan, dry grated",420.0,29.6,12.4,28.0,0.0,0.07,1750
"Cheese, Parmesan, dry grated, reduced fat",392.5,34.8,26.2,16.5,0.0,0.78,1450
"Cheese, Parmesan, hard",420.0,29.6,12.4,28.0,0.0,0.07,1750
"Cheese, Parmesan, dry grated, fat free",365.0,40.0,40.0,5.0,0.0,1.5,1150
"Cheese, American and Swiss blends",368.5,18.0,5.27,30.6,0.0,2.63,1660
