description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Milk, human",0,71.1,1.03,6.89,4.38,0.0,6.89,17
"Milk, NFS",0,50.8,3.34,4.87,1.99,0.0,4.89,39
"Milk, whole",0,60.6,3.28,4.67,3.2,0.0,4.81,38
"Milk, low sodium, whole",0,61.4,3.1,4.46,3.46,0.0,4.46,3
"Milk, calcium fortified, whole",0,60.6,3.28,4.67,3.2,0.0,4.81,38
"Milk, calcium fortified, low fat (1%)",0,42.8,3.38,5.19,0.95,0.0,4.96,39
"Milk, calcium fortified, fat free (skim)",0,34.6,3.4,4.85,0.18,0.0,4.85,52
"Milk, reduced fat (2%)",0,50.1,3.35,4.91,1.9,0.0,4.89,39
"Milk, acidophilus, low fat (1%)",0,42.8,3.38,5.19,0.95,0.0,4.96,39
"Milk, acidophilus, reduced fat (2%)",0,50.1,3.35,4.91,1.9,0.0,4.89,39
"Milk, low fat (1%)",0,42.8,3.38,5.19,0.95,0.0,4.96,39
"Milk, fat free (skim)",0,34.0,3.43,4.89,0.08,0.0,5.05,41
"Milk, lactose free, low fat (1%)",0,42.8,3.38,5.19,0.95,0.0,4.96,39
"Milk, lactose free, fat free (skim)",0,34.0,3.43,4.89,0.08,0.0,5.05,41
"Milk, lactose free, reduced fat (2%)",0,50.1,3.35,4.91,1.9,0.0,4.89,39
"Milk, lactose free, whole",0,60.6,3.28,4.67,3.2,0.0,4.81,38
"Buttermilk, fat free (skim)",0,42.0,3.31,4.79,1.07,0.0,4.79,148
"Buttermilk, low fat (1%)",0,42.0,3.31,4.79,1.07,0.0,4.79,148
"Buttermilk, reduced fat (2%)",0,55.6,4.1,5.3,2.0,0.0,5.3,105
"Buttermilk, whole",0,62.2,3.21,4.88,3.31,0.0,4.88,105
"Kefir, NS as to fat content",0,52.9,3.59,7.48,0.96,0.0,6.91,38
"Goat's milk, whole",0,69.3,3.56,4.45,4.14,0.0,4.45,50
"Milk, dry, reconstituted, NS as to fat content",0,31.8,3.2,4.6,0.07,0.0,4.6,51
"Milk, dry, reconstituted, whole",0,76.2,4.01,5.86,4.08,0.0,5.86,60
"Milk, dry, reconstituted, low fat (1%)",0,40.0,3.17,4.55,1.01,0.0,4.55,51
"Milk, dry, reconstituted, fat free (skim)",0,31.8,3.2,4.6,0.07,0.0,4.6,51
"Milk, evaporated, NS as to fat content",0,135.4,6.81,10.04,7.56,0.0,10.04,106
"Milk, evaporated, whole",0,135.4,6.81,10.04,7.56,0.0,10.04,106
"Milk, evaporated, reduced fat (2%)",0,91.9,7.42,11.15,1.96,0.0,11.15,113
"Milk, evaporated, fat free (skim)",0,77.4,7.55,11.35,0.2,0.0,11.35,115
"Milk, condensed, sweetened",1,327.5,7.91,54.4,8.7,0.0,54.4,127
"Non-dairy milk, NFS",0,29.7,1.04,3.75,1.17,0.2,3.03,60
Soy milk,0,43.3,2.6,4.92,1.47,0.2,3.65,47
"Soy milk, light",0,30.5,2.38,3.51,0.77,0.3,2.61,48
"Soy milk, nonfat",0,26.8,2.47,4.14,0.04,0.2,3.65,57
"Soy milk, chocolate",0,62.6,2.26,9.95,1.53,0.4,7.86,53
"Soy milk, light, chocolate",0,47.1,2.1,8.24,0.64,0.7,7.13,46
"Soy milk, nonfat, chocolate",0,47.1,2.1,8.24,0.64,0.7,7.13,46
"Almond milk, sweetened",0,30.8,0.38,5.24,0.93,0.2,4.77,69
"Almond milk, sweetened, chocolate",0,43.6,0.43,8.34,0.95,0.3,7.72,67
"Almond milk, unsweetened",0,15.5,0.4,1.31,0.96,0.2,0.81,72
"Almond milk, unsweetened, chocolate",0,16.8,0.46,1.48,1.0,0.3,0.81,72
Rice milk,0,46.5,0.28,9.17,0.97,0.3,5.28,39
Coconut milk,0,31.2,0.21,2.92,2.08,0.0,2.5,19
"Yogurt, NFS",0,63.1,5.25,7.04,1.55,0.0,7.04,70
"Yogurt, Greek, NS as to type of milk or flavor",0,72.8,9.95,3.94,1.92,0.0,3.56,34
"Yogurt, NS as to type of milk or flavor",0,63.1,5.25,7.04,1.55,0.0,7.04,70
"Yogurt, NS as to type of milk, plain",0,63.1,5.25,7.04,1.55,0.0,7.04,70
"Yogurt, whole milk, plain",0,61.8,3.47,4.66,3.25,0.0,4.66,46
"Yogurt, low fat milk, plain",0,63.1,5.25,7.04,1.55,0.0,7.04,70
"Yogurt, nonfat milk, plain",0,55.3,5.73,7.68,0.18,0.0,7.68,77
"Yogurt, Greek, NS as to type of milk, plain",0,72.8,9.95,3.94,1.92,0.0,3.56,34
"Yogurt, Greek, whole milk, plain",0,96.9,9.0,3.98,5.0,0.0,4.0,35
"Yogurt, Greek, low fat milk, plain",0,72.8,9.95,3.94,1.92,0.0,3.56,34
"Yogurt, Greek, nonfat milk, plain",0,59.1,10.3,3.64,0.37,0.0,3.27,36
"Yogurt, NS as to type of milk, fruit",0,88.8,4.66,14.46,1.37,0.1,12.01,65
"Yogurt, whole milk, fruit",0,87.7,3.1,12.36,2.87,0.1,9.92,44
"Yogurt, low fat milk, fruit",0,88.8,4.66,14.46,1.37,0.1,12.01,65
"Yogurt, nonfat milk, fruit",0,82.0,5.09,15.02,0.17,0.1,12.58,72
"Yogurt, Greek, NS as to type of milk, fruit",0,105.0,8.17,12.29,2.57,1.0,11.23,33
"Yogurt, Greek, whole milk, fruit",0,105.5,7.33,12.29,3.0,0.0,12.0,37
