category,description,nutrient_data_bank_number,alpha_carotene_mcg,beta_carotene_mcg,beta_cryptoxanthin_mcg,carbohydrate_g,cholesterol_mg,choline_mg,fiber_g,lutein_zeaxanthin_mcg,lycopene_mcg,niacin_mg,protein_g,retinol_mcg,riboflavin_mg,selenium_mcg,sugars_g,thiamin_mg,water_g,mono_fat_g,poly_fat_g,saturated_fat_g,total_fat_g,calcium_mg,copper_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,vitamin_a_mcg,vitamin_b12_mcg,vitamin_b6_mg,vitamin_c_mg,vitamin_e_mg,vitamin_k_mcg,desc_lower,calories_calc,protein_pct_cal,carb_pct_cal,fat_pct_cal,protein_per_100kcal,fiber_per_100kcal,calcium_per_100kcal,iron_per_100kcal,nutrient_density_score,nds_per_100kcal,cws,is_fortified,is_plant_based,is_infant,is_raw,nova_level,processing_level,sub_group,main_group,nds_rank,cws_rank,nds,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,vitamin_a_rae,vitamin_c,vitamin_k,calcium,iron,nds_score_norm,cws_score_norm,protein_pct,carb_pct,fat_pct
Cream,"Cream, whipped",12140000,0,68,0,8.59,106,15.8,0.0,0,0,0.06,2.67,381,0.178,2.9,8.55,0.019,54.3,8.561,1.477,21.666,33.94,62,0.011,0.1,7,55,89,26,0.23,387,0.15,0.033,0.6,0.86,3.0,"cream, whipped",350.5,3.0,9.8,87.1,0.76,0.0,17.69,0.029,23.4,6.68,29.6,0,0,False,False,1,Unprocessed,Other,Other,6995,6660,23.4,350.5,2.67,8.59,33.94,0.0,8.55,26,387,0.6,3.0,62,0.1,23.4,29.6,3.0,9.8,87.1
Ground hog,"Ground hog, cooked",23331100,0,0,0,0.0,83,63.1,0.0,0,0,6.341,25.96,2,0.292,41.6,0.0,0.676,59.18,5.734,1.361,4.683,13.6,20,0.07,0.93,24,221,344,217,2.55,2,0.68,0.559,0.1,0.12,0.0,"ground hog, cooked",226.24,45.9,0.0,54.1,11.47,0.0,8.84,0.411,36.2,16.0,40.2,0,0,False,False,3,Processed,Other,Other,1713,1655,36.2,226.24,25.96,0.0,13.6,0.0,0.0,217,2,0.1,0.0,20,0.93,36.2,40.2,45.9,0.0,54.1
Anchovy,"Anchovy, canned",26101180,0,0,0,0.0,85,85.0,0.0,0,0,19.903,28.89,12,0.363,68.1,0.0,0.078,50.3,3.77,2.562,2.203,9.71,232,0.339,4.63,69,252,544,3668,2.44,12,0.88,0.203,0.0,3.33,12.1,"anchovy, canned",202.95,56.9,0.0,43.1,14.24,0.0,114.31,2.281,30.7,15.13,21.8,0,0,False,False,3,Processed,Other,Other,5780,7011,30.7,202.95,28.89,0.0,9.71,0.0,0.0,3668,12,0.0,12.1,232,4.63,30.7,21.8,56.9,0.0,43.1
Porgy,"Porgy, raw",26133100,0,0,0,0.0,52,65.0,0.0,0,0,4.1,18.88,27,0.1,36.5,0.0,0.11,75.37,0.56,1.03,0.64,2.73,40,0.051,0.53,23,185,287,42,0.48,27,1.4,0.3,0.0,0.5,0.1,"porgy, raw",100.09,75.5,0.0,24.5,18.86,0.0,39.96,0.53,36.8,36.77,46.9,0,0,False,True,1,Unprocessed,Other,Other,1374,526,36.8,100.09,18.88,0.0,2.73,0.0,0.0,42,27,0.0,0.1,40,0.53,36.8,46.9,75.5,0.0,24.5
Porgy,"Porgy, baked or broiled, fat added",26133120,0,0,0,0.1,64,79.5,0.0,0,0,4.762,23.08,30,0.116,44.6,0.04,0.121,65.21,2.265,2.813,1.299,7.11,49,0.063,0.66,28,226,352,364,0.59,30,1.54,0.331,0.5,1.06,4.6,"porgy, baked or broiled, fat added",156.71,58.9,0.3,40.8,14.73,0.0,31.27,0.421,36.9,23.55,41.4,0,0,False,False,2,Minimally processed,Other,Other,1338,1306,36.9,156.71,23.08,0.1,7.11,0.0,0.04,364,30,0.5,4.6,49,0.66,36.9,41.4,58.9,0.3,40.8
Porgy,"Porgy, baked or broiled, no added fat",26133121,0,0,0,0.1,65,81.9,0.0,0,0,4.907,23.78,31,0.12,46.0,0.04,0.125,68.04,0.705,1.297,0.807,3.44,51,0.064,0.67,29,233,363,375,0.6,31,1.59,0.341,0.5,0.63,0.1,"porgy, baked or broiled, no added fat",126.48,75.2,0.3,24.5,18.8,0.0,40.32,0.53,37.2,29.41,44.2,0,0,False,False,2,Minimally processed,Other,Other,1223,779,37.2,126.48,23.78,0.1,3.44,0.0,0.04,375,31,0.5,0.1,51,0.67,37.2,44.2,75.2,0.3,24.5
Porgy,"Porgy, coated, baked or broiled, fat added",26133130,0,1,0,12.51,50,64.2,0.6,2,0,4.544,19.91,30,0.171,39.1,1.1,0.209,54.77,3.07,3.529,1.633,9.03,68,0.08,1.26,28,207,312,337,0.67,30,1.24,0.269,0.0,1.16,7.5,"porgy, coated, baked or broiled, fat added",210.95,37.8,23.7,38.5,9.44,0.28,32.24,0.597,36.8,17.44,39.3,0,1,False,False,2,Minimally processed,Other,Other,1374,1989,36.8,210.95,19.91,12.51,9.03,0.6,1.1,337,30,0.0,7.5,68,1.26,36.8,39.3,37.8,23.7,38.5
Porgy,"Porgy, coated, baked or broiled, no added fat",26133131,0,1,0,13.1,52,67.2,0.6,2,0,4.758,20.84,31,0.179,40.9,1.15,0.219,58.67,0.69,1.212,0.886,3.43,72,0.083,1.31,29,217,326,353,0.7,31,1.3,0.282,0.0,0.5,0.8,"porgy, coated, baked or broiled, no added fat",166.63,50.0,31.4,18.5,12.51,0.36,43.21,0.786,37.2,22.32,41.4,0,1,False,False,2,Minimally processed,Other,Other,1223,1306,37.2,166.63,20.84,13.1,3.43,0.6,1.15,353,31,0.0,0.8,72,1.31,37.2,41.4,50.0,31.4,18.5
Porgy,"Porgy, coated, fried",26133140,0,0,1,9.85,79,80.9,0.6,48,0,4.316,19.11,35,0.171,37.5,0.88,0.181,54.74,4.61,4.928,2.196,12.66,65,0.086,1.29,27,199,285,367,0.73,35,1.19,0.261,0.0,1.56,11.4,"porgy, coated, fried",229.78,33.3,17.1,49.6,8.32,0.26,28.29,0.561,36.2,15.75,38.0,0,1,False,False,3,Processed,Other,Other,1713,2587,36.2,229.78,19.11,9.85,12.66,0.6,0.88,367,35,0.0,11.4,65,1.29,36.2,38.0,33.3,17.1,49.6
Porgy,"Porgy, steamed or poached",26133160,0,0,0,0.0,65,81.7,0.0,0,0,4.382,23.74,27,0.113,45.9,0.0,0.111,68.2,0.704,1.295,0.805,3.43,51,0.064,0.67,26,209,307,369,0.6,27,1.5,0.302,0.0,0.63,0.1,"porgy, steamed or poached",125.83,75.5,0.0,24.5,18.87,0.0,40.53,0.532,36.7,29.17,44.1,0,0,False,False,1,Unprocessed,Other,Other,1431,798,36.7,125.83,23.74,0.0,3.43,0.0,0.0,369,27,0.0,0.1,51,0.67,36.7,44.1,75.5,0.0,24.5
